Date,Price_Maize,Price_Millet,Price_Sorghum,Exchange_Rate,NDVI_Anomaly,NDMI_Anomaly,Rainfall_Anomaly,Price_Maize_Lag1,Price_Maize_Lag2,Price_Sorghum_Lag1,Price_Sorghum_Lag2,Price_Millet_Lag1,Price_Millet_Lag2,NDVI_Anomaly_Lag1,NDVI_Anomaly_Lag2,NDMI_Anomaly_Lag1,NDMI_Anomaly_Lag2,Rainfall_Anomaly_Lag1,Rainfall_Anomaly_Lag2,Exchange_Rate_Lag1,Exchange_Rate_Lag2
2018-05-01,11873.25,13263.75,10633.75,358.4229390681004,0.01308233733833479,0.09714518726105409,0.6237043617825206,11475.0,10700.0,11000.0,10350.0,13750.0,13350.0,0.0450338325740498,0.0621630402010364,0.07424685328375208,0.01692150787362257,0.5043638284360601,0.1108972129356365,358.4229390681004,357.14285714285717
2018-06-01,12271.5,12777.5,10267.5,358.4229390681004,-0.018869157897380213,0.1200435212383561,0.7430448951289812,11873.25,11475.0,10633.75,11000.0,13263.75,13750.0,0.01308233733833479,0.0450338325740498,0.09714518726105409,0.07424685328375208,0.6237043617825206,0.5043638284360601,358.4229390681004,358.4229390681004
2018-07-01,11293.125,11963.125,10141.125,359.3798519181909,-0.07387587863517747,-0.018002894568219352,1.0183642005442226,12271.5,11873.25,10267.5,10633.75,12777.5,13263.75,-0.018869157897380213,0.01308233733833479,0.1200435212383561,0.09714518726105409,0.7430448951289812,0.6237043617825206,358.4229390681004,358.4229390681004
2018-08-01,10314.75,11148.75,10014.75,360.33676476828145,-0.12888259937297472,-0.1560493103747948,1.2936835059594638,11293.125,12271.5,10141.125,10267.5,11963.125,12777.5,-0.07387587863517747,-0.018869157897380213,-0.018002894568219352,0.1200435212383561,1.0183642005442226,0.7430448951289812,359.3798519181909,358.4229390681004
2018-09-01,9336.375,10334.375,9888.375,361.29367761837193,-0.183889320110772,-0.29409572618137025,1.569002811374705,10314.75,11293.125,10014.75,10141.125,11148.75,11963.125,-0.12888259937297472,-0.07387587863517747,-0.1560493103747948,-0.018002894568219352,1.2936835059594638,1.0183642005442226,360.33676476828145,359.3798519181909
2018-10-01,8358.0,9520.0,9762.0,362.25059046846246,-0.23889604084856925,-0.4321421419879457,1.8443221167899464,9336.375,10314.75,9888.375,10014.75,10334.375,11148.75,-0.183889320110772,-0.12888259937297472,-0.29409572618137025,-0.1560493103747948,1.569002811374705,1.2936835059594638,361.29367761837193,360.33676476828145
2018-11-01,8662.5,8922.5,10072.5,364.5643456069996,-0.9423598919266443,-0.7468536124838715,0.4166562295152435,8358.0,9336.375,9762.0,9888.375,9520.0,10334.375,-0.23889604084856925,-0.183889320110772,-0.4321421419879457,-0.29409572618137025,1.8443221167899464,1.569002811374705,362.25059046846246,361.29367761837193
2018-12-01,8976.75,9167.5,8327.5,362.58158085569255,-0.44162858278169526,-0.20970233972249022,0.6786562655264977,8662.5,8358.0,10072.5,9762.0,8922.5,9520.0,-0.9423598919266443,-0.23889604084856925,-0.7468536124838715,-0.4321421419879457,0.4166562295152435,1.8443221167899464,364.5643456069996,362.25059046846246
2019-01-01,9092.0,9174.0,8255.6,362.1194124974652,-0.44653219856519133,-0.612256601560181,-0.4637670332205415,8976.75,8662.5,8327.5,10072.5,9167.5,8922.5,-0.44162858278169526,-0.9423598919266443,-0.20970233972249022,-0.7468536124838715,0.6786562655264977,0.4166562295152435,362.58158085569255,364.5643456069996
2019-02-01,8860.0,9152.5,8401.5,360.13324930224184,-0.2741029638116386,-0.3507732750509367,-0.31358525027825784,9092.0,8976.75,8255.6,8327.5,9174.0,9167.5,-0.44653219856519133,-0.44162858278169526,-0.612256601560181,-0.20970233972249022,-0.4637670332205415,0.6786562655264977,362.1194124974652,362.58158085569255
